v,vw,o,c,h,l,t,n
83077916.0,447.1582,442.65,449.16,449.45,442.46,1693281600000,560020
69053911.0,450.6164,449.51,451.01,451.67,448.78,1693368000000,480797
66084563.0,451.337,451.65,450.35,452.83,450.16,1693454400000,446690
58944098.0,451.2518,453.17,451.19,453.67,449.68,1693540800000,444467
54634810.0,450.0454,450.73,449.24,451.06,449.17,1693886400000,451483
70758512.0,446.0414,448.4,446.22,448.51,443.81,1693972800000,535482
70348426.0,444.5598,443.11,444.85,445.55,442.75,1694059200000,487842
62068437.0,445.6915,444.9,445.52,447.11,444.53,1694145600000,405859
59977618.0,447.8462,448.24,448.45,448.77,446.4699,1694404800000,432851
67565422.0,446.7637,446.95,445.99,448.53,445.39,1694491200000,453018
60123672.0,446.5332,446.22,446.51,447.71,445.0793,1694577600000,460624
83133514.0,449.4353,449.07,450.36,451.08,447.715,1694664000000,508845
111798734.0,444.9005,447.14,443.37,447.48,442.92,1694750400000,665592
55752213.0,443.6503,443.05,443.63,444.97,442.56,1695009600000,412315
66514648.0,441.9622,442.68,442.71,443.29,439.94,1695096000000,445858
82472602.0,441.4311,444.01,438.64,444.435,438.43,1695182400000,507725
102273826.0,433.7086,435.7,431.39,435.97,431.23,1695268800000,677709
100829684.0,431.7374,432.45,430.42,434.1,429.99,1695355200000,637168
70822134.0,430.9017,429.17,432.23,432.27,428.72,1695614400000,488030
96130936.0,427.1501,429.09,425.88,429.82,425.02,1695700800000,633685
104439847.0,425.4191,427.09,426.05,427.67,422.29,1695787200000,693410
91858308.0,427.8562,425.48,428.52,430.2499,424.87,1695873600000,616074
115111319.0,428.5102,431.67,427.48,431.85,425.91,1695960000000,745037
83798599.0,426.3521,426.62,427.31,428.6,424.46,1696219200000,668258
103698607.0,422.3022,425.06,421.59,427.3729,420.18,1696305600000,741554
87452518.0,423.1254,422.07,424.66,425.4299,420.56,1696392000000,645252
70128794.0,423.5925,424.36,424.5,425.37,421.1701,1696478400000,532996
113213309.0,426.957,421.97,429.54,431.125,420.6,1696564800000,737825
80374362.0,430.3192,427.58,432.29,432.88,427.0101,1696824000000,509696
78499268.0,435.0224,432.94,434.54,437.22,432.53,1696910400000,559796
62451736.0,435.16,435.64,436.32,436.58,433.18,1696996800000,452204
80654230.0,434.4825,436.95,433.66,437.335,431.23,1697083200000,607471
95201132.0,432.3429,435.21,431.5,436.45,429.88,1697169600000,665920
75433194.0,435.645,433.82,436.04,437.14,433.57,1697428800000,540499
75232708.0,435.3865,432.81,436.02,438.14,432.45,1697515200000,579310
93559798.0,432.1327,434.19,430.21,435.18,429.09,1697601600000,691076
121295457.0,428.955,430.95,426.43,432.82,425.725,1697688000000,880803
122919874.0,423.4845,425.98,421.19,426.54,421.08,1697774400000,733329
91840945.0,421.4107,419.61,420.46,424.45,417.8,1698033600000,668631
78564239.0,423.0518,422.65,423.63,424.82,420.74,1698120000000,579422
93911198.0,419.1266,421.89,417.55,421.92,417.015,1698206400000,753888
115062041.0,414.172,416.45,412.55,417.325,411.6,1698292800000,846338
107367671.0,411.5788,414.19,410.68,414.6,409.21,1698379200000,800489
86560987.0,414.3338,413.56,415.59,416.68,408.91,1698638400000,637989
79631900.0,416.8983,416.18,418.2,418.53,414.21,1698724800000,563414
98068115.0,420.8746,419.2,422.66,423.5,418.6499,1698811200000,724431
94838909.0,428.8097,426.58,430.76,430.915,426.56,1698897600000,639382
99620775.0,434.4545,433.14,434.69,436.29,433.01,1698984000000,646999
67216066.0,435.0503,435.47,435.69,436.1498,433.68,1699246800000,494714
64256114.0,436.5304,435.69,436.93,437.585,434.51,1699333200000,488372
61731027.0,436.8141,437.55,437.25,438.09,434.87,1699419600000,461553
83071417.0,435.6292,438.43,433.84,438.47,433.4,1699506000000,622937
89558054.0,437.9898,435.98,440.61,440.93,433.8335,1699592400000,585762
52192568.0,440.0944,439.23,440.19,441.33,438.42,1699851600000,406679
97130503.0,447.8699,446.32,448.73,450.06,446.09,1699938000000,653301
77327573.0,450.0195,450.11,449.68,451.38,448.8,1700024400000,555373
66654468.0,449.4747,449.22,450.23,450.56,448.12,1700110800000,507743
83193902.0,450.5304,450.24,450.79,451.42,449.29,1700197200000,439852
69614633.0,453.2957,450.53,454.26,455.125,450.52,1700456400000,488761
49244639.0,453.0274,453.1842,453.27,454.131,451.9599,1700542800000,405390
59446573.0,455.0336,454.98,455.02,456.38,453.8895,1700629200000,479662
29667375.0,455.097,455.07,455.3,455.5,454.73,1700802000000,190767
50412985.0,454.8288,454.65,454.48,455.4901,454.0799,1701061200000,400697
62083811.0,454.7221,454.08,454.93,456.27,453.5,1701147600000,461129
63140992.0,455.8178,457.15,454.61,458.32,454.2,1701234000000,455446
79752700.0,455.1457,455.48,456.4,456.76,453.34,1701320400000,516017
88983400.0,457.8696,455.77,459.1,459.65,455.16,1701406800000,606481
72430888.0,456.1909,455.6,456.69,459.1206,454.34,1701666000000,538574
69793469.0,456.3197,455.26,456.6,457.59,454.87,1701752400000,483241
69124685.0,456.1309,458.81,454.76,458.84,454.31,1701838800000,465899
66475446.0,457.6646,456.91,458.23,458.9,456.29,1701925200000,458077
82769404.0,459.2764,457.46,460.2,460.745,457.21,1702011600000,525608
64895247.0,460.922,459.69,461.99,462.17,459.47,1702270800000,461245
68327617.0,462.9171,461.63,464.1,464.2,460.6,1702357200000,438135
93221960.0,467.5616,464.49,470.5,470.7599,464.12,1702443600000,662495
118424368.0,471.7115,472.5,472.01,473.73,469.25,1702530000000,713136
141553673.0,469.3495,469.49,469.33,470.7,467.4263,1702616400000,669179
70375285.0,471.856,470.98,471.97,472.98,469.8929,1702875600000,459240
55261805.0,473.9772,472.53,474.84,474.92,472.45,1702962000000,416102
102920959.0,471.6749,473.96,468.26,475.895,467.82,1703048400000,666863
86136465.0,471.2265,471.33,472.7,472.975,468.84,1703134800000,600896
67160419.0,473.7998,473.86,473.65,475.38,471.7,1703221200000,486178
55386952.0,475.1113,474.07,475.65,476.58,473.99,1703566800000,348986
67999311.0,475.7704,475.44,476.51,476.66,474.89,1703653200000,425536
77158116.0,476.7747,476.88,476.69,477.55,476.26,1703739600000,374240
122133149.0,475.3637,476.49,475.31,477.03,473.3,1703826000000,604831
122985393.0,472.5097,472.16,472.65,473.67,470.49,1704171600000,657584
103577866.0,469.8983,470.43,468.79,471.19,468.17,1704258000000,656569
84202339.0,468.5539,468.3,467.28,470.96,467.05,1704344400000,536469
86118913.0,468.0779,467.49,467.92,470.44,466.43,1704430800000,562579
74667074.0,471.969,468.43,474.6,474.75,468.3,1704690000000,523805
65613439.0,473.5367,471.87,473.88,474.93,471.35,1704776400000,448471
67300640.0,475.6819,474.16,476.56,477.4481,473.87,1704862800000,470044
77910013.0,475.3154,477.59,476.35,478.12,472.26,1704949200000,576611
58026420.0,476.5875,477.84,476.68,478.6,475.23,1705035600000,470855
84814870.0,474.9136,475.26,474.93,476.6098,473.06,1705381200000,592231
68843871.0,471.7731,471.82,472.29,472.79,469.87,1705467600000,520417
91856248.0,474.7458,474.01,476.49,477.06,472.42,1705554000000,558707
110834483.0,479.9667,477.65,482.43,482.72,476.5374,1705640400000,608468
75742531.0,483.6785,484.01,483.45,485.22,482.78,1705899600000,548088
49699297.0,484.0582,484.01,484.86,485.105,482.89,1705986000000,388976
81725039.0,486.6439,487.81,485.39,488.77,484.8819,1706072400000,621289
72504989.0,486.9425,487.575,488.03,488.305,485.39,1706158800000,546402
77030572.0,487.6887,487.59,487.41,489.12,486.54,1706245200000,480115
61322751.0,489.2436,487.73,491.27,491.415,487.17,1706504400000,447982
57658386.0,490.8666,490.56,490.89,491.62,490.11,1706590800000,447675
126011061.0,485.8938,488.62,482.88,489.0813,482.86,1706677200000,780577
91891637.0,486.5792,484.63,489.2,489.23,483.8,1706763600000,650358
99228192.0,493.0074,489.65,494.35,496.05,489.3,1706850000000,677113
75677102.0,492.9606,493.695,492.55,494.3778,490.23,1707109200000,537116
55918602.0,493.0319,493.52,493.98,494.32,492.05,1707195600000,456773
70413706.0,497.1981,496.29,498.1,498.53,495.36,1707282000000,501856
52312096.0,498.0636,498.1,498.32,498.71,497.26,1707368400000,406774
63579375.0,500.3249,498.84,501.2,501.65,498.49,1707454800000,467170
56502283.0,501.5388,501.17,500.98,503.5,500.24,1707714000000,437189
113099199.0,494.284,494.53,494.08,497.09,490.715,1707800400000,779480
68360627.0,496.7196,496.79,498.57,499.07,494.4,1707886800000,536840
61682960.0,500.7639,499.29,502.01,502.2,498.795,1707973200000,516093
75532928.0,500.9231,501.7,499.51,502.87,498.75,1708059600000,532752
71736740.0,496.4411,497.72,496.76,498.41,494.45,1708405200000,595486
59443671.0,495.8288,495.42,497.21,497.37,493.56,1708491600000,499404
76402535.0,505.832,504.01,507.5,508.49,503.02,1708578000000,613961
61321818.0,508.4383,509.27,507.85,510.13,507.1,1708664400000,489694
50386738.0,507.0794,508.3,505.99,508.75,505.86,1708923600000,434429
48826828.0,506.231,506.7,506.93,507.16,504.75,1709010000000,400259
56506634.0,506.0354,505.33,506.26,506.855,504.96,1709096400000,420488
83271045.0,507.9429,508.07,508.08,509.74,505.35,1709182800000,547843
76692344.0,511.2406,508.98,512.85,513.29,508.56,1709269200000,544942
49799257.0,512.7191,512.03,512.3,514.2,512,1709528400000,466601
72820623.0,507.9576,510.24,507.18,510.7,504.91,1709614800000,593891
68214867.0,509.9143,510.55,509.75,512.069,508.42,1709701200000,603736
58639485.0,514.2582,513.14,514.81,515.89,509.8053,1709787600000,526278
86532535.0,514.0293,515.46,511.72,518.2201,511.13,1709874000000,737848
62557183.0,510.6619,510.48,511.28,511.88,508.5,1710129600000,573251
72869439.0,515.0759,513.45,516.78,517.38,510.86,1710216000000,602905
55104088.0,516.3159,517.11,515.97,517.29,514.49,1710302400000,471659
110149920.0,514.5295,516.97,514.95,517.125,511.82,1710388800000,729544
107646297.0,509.9877,510.21,509.83,511.7,508.122,1710475200000,694373
89025817.0,513.3075,514,512.86,515.48,512.44,1710734400000,568826
60755263.0,513.9894,512.15,515.71,515.995,511.12,1710820800000,489558
69594574.0,517.9114,515.77,520.48,520.62,515.08,1710907200000,566876
60256112.0,522.8197,523.39,522.2,524.11,521.91,1710993600000,506364
78920842.0,521.7698,522.11,521.21,522.605,520.97,1711080000000,467268
48512108.0,520.3191,519.8,519.77,520.95,519.61,1711339200000,413060
65463744.0,519.9065,521.23,518.81,521.58,518.4,1711425600000,427328
82999777.0,521.0339,521.71,523.17,523.21,519.485,1711512000000,518970
96294886.0,523.428,523.21,523.07,524.61,522.78,1711598400000,495562
62477540.0,522.5635,523.83,522.16,524.38,520.97,1711944000000,449575
74230308.0,518.5339,518.24,518.84,518.98,516.48,1712030400000,570884
59155759.0,519.6382,517.72,519.41,520.95,517.665,1712116800000,486600
96583574.0,517.8667,523.52,513.07,523.8674,512.755,1712203200000,772266
74546483.0,517.6386,514.46,518.43,520.44,514.01,1712289600000,669740
48331202.0,518.8999,519.15,518.72,520.18,517.89,1712548800000,443839
68124385.0,517.7023,520.5,519.32,520.75,514.35,1712635200000,532493
82652806.0,514.1656,513.48,514.12,516.16,512.09,1712721600000,753675
69873607.0,516.4476,515.68,518,519.48,512.08,1712808000000,582631
92561094.0,512.3197,514.37,510.85,515.815,509.08,1712894400000,769300
91911383.0,508.3195,515.13,504.45,515.3,503.58,1713153600000,841310
73338462.0,504.1622,504.94,503.53,506.5,502.21,1713240000000,689024
75550490.0,502.136,506.05,500.55,506.22,499.12,1713326400000,704726
74440556.0,500.7136,501.98,499.52,504.13,498.56,1713412800000,627445
101688674.0,496.8453,499.44,495.16,500.455,493.86,1713499200000,756681
67917950.0,498.8213,497.83,499.72,502.38,495.43,1713758400000,601775
64524650.0,504.4162,501.78,505.65,506.09,499.5328,1713844800000,527361
55926114.0,505.3062,506.56,505.41,507.37,503.13,1713931200000,495170
69076388.0,501.619,499.18,503.49,504.27,497.49,1714017600000,625033
63300432.0,508.0069,506.35,508.26,509.88,505.7,1714104000000,491752
44833100.0,509.5523,510.09,510.06,510.75,507.25,1714363200000,440171
76578307.0,505.7786,508.56,501.98,509.56,501.98,1714449600000,575782
80203062.0,502.5601,501.38,500.35,508.19,499.865,1714536000000,733925
62276093.0,503.3345,504.15,505.03,505.89,499.55,1714622400000,532678
71890647.0,510.555,511.16,511.29,512.55,508.56,1714708800000,579104
47236717.0,514.6357,513.75,516.57,516.61,513.3,1714968000000,444747
50977654.0,517.4968,517.56,517.14,518.57,516.45,1715054400000,432286
42012599.0,516.9211,515.26,517.19,517.74,515.14,1715140800000,369150
43583253.0,519.1084,517.38,520.17,520.2074,516.705,1715227200000,399512
52201942.0,520.8834,521.81,520.84,522.635,519.59,1715313600000,428536
36692999.0,521.0738,522.56,520.91,522.67,519.74,1715572800000,360847
57521901.0,522.2996,521.11,523.3,523.83,520.56,1715659200000,417233
59427333.0,528.0601,525.83,529.78,530.08,525.18,1715745600000,510546
50203330.0,529.8408,529.88,528.69,531.5218,528.54,1715832000000,436757
59151072.0,528.8498,528.81,529.45,529.52,527.32,1715918400000,372341
37711090.0,530.2811,529.57,530.06,531.5601,529.17,1716177600000,331748
33382000.0,530.4508,529.28,531.36,531.52,529.07,1716264000000,306611
47734744.0,529.7849,530.65,529.83,531.38,527.6,1716350400000,340278
56651841.0,528.0228,532.96,525.96,533.07,524.72,1716436800000,440792
41239368.0,528.9137,527.85,529.44,530.27,526.881,1716523200000,328927
36263860.0,529.3202,530.27,529.81,530.51,527.11,1716868800000,343539
44751381.0,526.6119,525.68,526.1,527.31,525.37,1716955200000,359195
45453300.0,523.6892,524.52,522.61,525.2,521.33,1717041600000,385199
90193041.0,523.8474,523.59,527.37,527.5,518.36,1717128000000,530020
46822158.0,526.6341,529.02,527.8,529.31,522.6,1717387200000,468398
33998893.0,527.1348,526.46,528.39,529.15,524.96,1717473600000,357967
47512476.0,532.5736,530.77,534.67,534.69,528.7254,1717560000000,409450
30346423.0,534.3595,534.98,534.66,535.42,532.68,1717646400000,304858
43131322.0,534.4546,533.66,534.01,536.89,532.535,1717732800000,336974
35296725.0,534.6592,533.18,535.66,535.99,532.57,1717992000000,344616
35439089.0,535.1988,534.07,536.95,537.01,532.05,1718078400000,360283
62925319.0,541.709,541.63,541.36,544.12,540.3,1718164800000,488531
44408457.0,541.9552,543.15,542.45,543.325,539.59,1718251200000,350312
39506074.0,541.7664,540.88,542.78,542.81,539.85,1718337600000,342826
55644455.0,545.4376,542.08,547.1,548.53,541.6072,1718596800000,402242
41040714.0,547.7279,547.16,548.49,548.62,546.73,1718683200000,324661
70302302.0,547.5515,549.44,547,550.12,545.18,1718856000000,470263
62463451.0,544.5436,544.4,544.51,545.65,543.02,1718942400000,392319
45142961.0,544.3123,544.33,542.74,546.95,542.62,1719201600000,392105
38253579.0,543.9439,543.99,544.83,545.2,542.44,1719288000000,314932
38408871.0,544.7822,543.69,545.51,546.24,543.03,1719374400000,336258
34948595.0,545.7994,545.37,546.37,546.96,544.61,1719460800000,318138
74580583.0,545.9113,547.16,544.22,550.28,542.95,1719547200000,493007
39768188.0,544.7923,545.63,545.34,545.88,542.52,1719806400000,370676
