v,vw,o,c,h,l,t,n
44772917.0,139.6921,138.76,139.74,140.73,138.36,1699246800000,392502
53540937.0,142.5042,140.55,142.71,143.37,140.5,1699333200000,469254
44521658.0,142.0397,142.97,142.08,143.12,141.2183,1699419600000,375299
36235367.0,141.2394,142.02,140.6,142.65,139.84,1699506000000,338545
49349937.0,142.378,140.46,143.56,143.65,139.91,1699592400000,410268
35680570.0,142.3769,142.08,142.59,143.23,140.67,1699851600000,339006
56674551.0,146.143,145,145.8,147.26,144.68,1699938000000,508013
63874520.0,143.957,147.06,143.2,147.29,142.59,1700024400000,550007
49653512.0,142.0802,140.91,142.83,143.32,139.52,1700110800000,444059
49361537.0,144.3592,142.66,145.18,145.23,142.545,1700197200000,381168
41978766.0,145.9368,145.13,146.13,146.63,144.725,1700456400000,380926
71225992.0,143.043,143.91,143.9,144.05,141.5,1700542800000,566880
45700002.0,146.7929,144.57,146.71,147.74,144.57,1700629200000,428449
22378379.0,146.3718,146.7,146.74,147.2,145.32,1700802000000,217521
53762428.0,148.2873,147.53,147.73,149.26,146.88,1701061200000,465572
42711682.0,146.8346,146.98,147.03,147.5999,145.53,1701147600000,383221
40610907.0,146.8633,147.85,146.32,148.54,145.97,1701234000000,358306
65814022.0,145.7585,144.76,146.09,146.93,144.332,1701320400000,460829
39949248.0,146.6909,146,147.03,147.245,145.55,1701406800000,361361
48294244.0,144.4521,145.25,144.84,145.35,142.81,1701666000000,462624
46822411.0,146.6481,143.55,146.88,148.57,143.13,1701752400000,446158
39678960.0,145.5034,147.58,144.52,147.85,144.28,1701838800000,365815
52334830.0,146.7179,146.15,146.88,147.92,145.34,1701925200000,382096
41905965.0,146.9405,145.48,147.42,147.84,145.4,1702011600000,343829
50899808.0,145.3002,145.66,145.89,146.19,143.64,1702270800000,435149
44944264.0,146.7466,145.52,147.48,147.5,145.3,1702357200000,338593
52766196.0,148.2608,148.12,148.84,149.46,146.82,1702443600000,438472
58400848.0,147.8687,149.93,147.42,150.54,145.52,1702530000000,532121
110072142.0,149.535,148.38,149.97,150.57,147.88,1702616400000,492772
62512828.0,153.4071,150.56,154.07,154.855,150.05,1702875600000,511128
43171292.0,153.7217,154.4,153.79,155.12,152.69,1702962000000,384137
50322106.0,153.6876,152.9,152.12,155.63,151.56,1703048400000,461445
36305733.0,153.1091,153.3,153.84,153.97,152.1,1703134800000,350098
29514093.0,153.5444,153.77,153.42,154.35,152.71,1703221200000,310942
25067222.0,153.4082,153.56,153.41,153.975,153.03,1703566800000,282620
31344733.0,153.643,153.56,153.34,154.78,153.12,1703653200000,311462
