v,vw,o,c,h,l,t,n
8133016.0,136.2091,137.95,136.48,138.06,134.87,1683691200000,92921
7005977.0,135.9552,135,136.05,136.81,134.9,1683777600000,89120
9988598.0,134.1583,136.82,134.1,136.99,133.13,1683864000000,113920
7639451.0,134.8897,134.27,135.23,135.67,133.96,1684123200000,94388
6483267.0,134.5665,135.46,134.32,135.9382,133.96,1684209600000,82350
12711522.0,137.6454,135.9,138.45,138.5899,135.46,1684296000000,135086
10999607.0,138.7387,138.27,139.5,139.73,137.76,1684382400000,121703
13492239.0,139.3604,139.79,139.18,140.49,138.125,1684468800000,135821
11402476.0,138.833,141,138.03,141.64,137.66,1684728000000,144986
9514897.0,137.3837,137.54,136.59,139.03,136.455,1684814400000,121265
8577997.0,135.4714,135.4,135.34,136.35,135.08,1684900800000,102229
8472505.0,135.4731,134.82,135.67,136.27,134.58,1684987200000,100099
8579941.0,136.8728,136.11,136.94,137.6,135.63,1685073600000,96342
7399867.0,137.0793,136.8,137.46,137.72,136.02,1685419200000,106370
14219906.0,135.4135,136.73,135.71,136.84,134.4044,1685505600000,124522
12248094.0,137.3011,136.52,137.58,138.23,135.445,1685592000000,122657
12922471.0,140.6835,139.56,140.47,141.48,139.34,1685678400000,146474
9542980.0,138.891,140.11,139.09,140.34,138.13,1685937600000,123995
9329541.0,139.2858,138.68,139.34,140.1,138.2066,1686024000000,114190
9281389.0,140.372,139.55,140.69,141.27,138.83,1686110400000,107786
7370043.0,140.3491,140.67,140.73,140.89,139.4807,1686196800000,93068
7253946.0,141.0738,140.35,141.01,141.8,140.21,1686283200000,99027
7600196.0,140.7479,141.07,141,141.32,139.76,1686542400000,95387
7701567.0,142.0639,140.48,142.02,142.87,140.14,1686628800000,105698
9068729.0,141.7352,143,141.49,143.61,140.7,1686715200000,121459
9343096.0,142.4466,140.59,143.09,143.4,140.03,1686801600000,110684
13764512.0,143.2562,143.05,143.26,143.965,142.5,1686888000000,106347
8133708.0,142.3243,142.61,142.53,143,141.04,1687233600000,97671
9926459.0,142.7701,142.9,142.32,144.02,141.691,1687320000000,113084
10076325.0,140.0866,142.31,139.58,142.6,138.95,1687406400000,113864
9919539.0,138.78,138.54,138.85,139.18,137.62,1687492800000,96363
8429727.0,138.9776,138.87,139.19,140.01,137.69,1687752000000,100373
8154026.0,139.1811,139,139.2,139.84,138.54,1687838400000,98250
7558644.0,138.5679,139.16,138.59,139.21,137.96,1687924800000,90805
15423230.0,142.7042,140.07,143.43,143.56,139.85,1688011200000,158241
14212816.0,145.1738,144.6,145.44,146,143.66,1688097600000,148710
8021622.0,146.7011,146.19,146.61,147.48,146,1688356800000,90569
8935519.0,144.836,144.94,144.64,145.43,144.36,1688529600000,117804
9714100.0,142.653,143.02,143.21,143.39,141.4401,1688616000000,123978
8981456.0,144.7871,143.91,144.34,145.8436,143,1688702400000,113161
9100060.0,145.1726,144.5,145.15,145.99,144.5,1688961600000,109920
11246642.0,147.0424,146.335,147.42,147.82,145.705,1689048000000,138629
11323228.0,148.5428,147.45,148.15,149.87,147,1689134400000,131269
11234925.0,148.7957,148.7,148.87,149.37,147.75,1689220800000,120322
27028429.0,150.1386,151.55,149.77,152.89,148.41,1689307200000,267383
17262394.0,152.6753,150.35,153.38,153.75,150.35,1689566400000,198342
13491725.0,153.7237,153.38,153.66,154.4,152.82,1689652800000,156305
12405100.0,154.1782,152.75,154.25,155.205,152.22,1689739200000,155013
9935907.0,156.0587,154.53,156.15,156.59,154.41,1689825600000,128545
10636378.0,155.3254,155.8,154.95,156.14,154.69,1689912000000,120853
14381427.0,157.6303,154.97,158,158.785,154.73,1690171200000,151654
9944679.0,156.9654,157.3,156.82,157.7198,155.96,1690257600000,114985
8728593.0,157.3907,156.71,157.76,158.25,156.275,1690344000000,112404
10778406.0,156.8925,157.77,156.02,158.78,155.5538,1690430400000,121641
9105974.0,156.9395,157.28,156.91,157.6,156.4401,1690516800000,102733
8894353.0,157.9276,157.18,157.96,159.38,157.151,1690776000000,107016
6855682.0,156.9426,157.43,157.18,158,156.15,1690862400000,86483
8303708.0,155.0563,155.56,155.4,155.69,153.94,1690948800000,106453
6087542.0,156.148,155,156.35,156.92,154.35,1691035200000,79042
6209397.0,156.7255,156.4,156.02,157.8,155.695,1691121600000,88307
7251832.0,156.9842,156.6,156.76,157.7,156.6,1691380800000,78496
8623379.0,154.6064,154.32,155.88,155.98,152.59,1691467200000,109345
6277813.0,154.3222,155.32,153.79,155.52,153.47,1691553600000,83269
5995076.0,153.983,154.38,153.56,155.44,153.09,1691640000000,84380
5180690.0,154.0587,153.03,154.45,154.52,152.63,1691726400000,71589
5044282.0,154.3355,153.61,154.77,154.9178,152.92,1691985600000,73858
10300303.0,151.0194,152.85,150.83,153.2664,150.2301,1692072000000,129950
6978235.0,150.4072,150.6,150.19,150.96,149.68,1692158400000,97248
9953912.0,149.4739,150.88,148.63,151.2622,148.4,1692244800000,117063
8517460.0,148.7866,147.65,148.97,149.5,147.4437,1692331200000,109193
8327018.0,149.2954,149.65,149.48,150.105,148.02,1692590400000,114772
9681972.0,146.9339,149.26,146.38,149.6394,145.85,1692676800000,119619
7858021.0,146.89,146.35,147.37,147.585,145.46,1692763200000,95366
6534026.0,147.6591,147.5,147.23,149.41,146.9875,1692849600000,88654
6695537.0,146.9658,147.28,147.05,148.6199,145.85,1692936000000,91434
5094201.0,147.7754,147.57,147.56,148.61,147.13,1693195200000,73364
6336962.0,148.3758,147.71,148.76,148.85,147.18,1693281600000,75950
6277318.0,148.0695,148.62,148.16,149.15,147.19,1693368000000,78925
10933938.0,146.7023,148.26,146.33,148.35,145.96,1693454400000,106428
7903496.0,147.1291,146.09,146.82,148.08,145.7,1693540800000,102311
7854739.0,145.6657,147.16,145.2,148.2099,145.01,1693886400000,113086
8629164.0,144.8844,144.7,144.96,145.54,144.11,1693972800000,109100
8373738.0,144.051,144.13,143.72,145.2683,143.39,1694059200000,98409
7110254.0,143.6746,143.37,143.83,144.12,142.65,1694145600000,95595
6854220.0,144.3658,144.75,144.46,145.05,143.69,1694404800000,89122
8363165.0,145.9841,144.5,146.34,147.32,144.05,1694491200000,112968
8325914.0,146.6009,147.34,146.41,147.7,145.82,1694577600000,100835
10034931.0,149.2306,147.84,149.25,149.895,147.52,1694664000000,117701
19863383.0,148.8928,148.92,148.81,149.7256,148.31,1694750400000,112605
6512360.0,148.7779,148.16,149.12,149.14,147.75,1695009600000,79000
7945606.0,148.6482,149.5,148.93,149.72,147.21,1695096000000,92510
7334257.0,149.0472,149.65,148.3,150.25,148.135,1695182400000,88656
8053410.0,147.5148,147.58,147.14,148.855,146.63,1695268800000,98146
7071975.0,146.1523,147.29,145.73,147.51,145.19,1695355200000,94687
7044672.0,145.4336,145.35,146.45,146.52,143.7,1695614400000,93310
7468405.0,144.9817,144.6,144.93,145.84,144.23,1695700800000,95020
6717822.0,145.4721,145.19,145.78,146.09,144.5115,1695787200000,93081
8868063.0,147.7086,146.28,147.59,148.87,146.01,1695873600000,113519
11917826.0,145.8814,148.6,145.02,148.76,144.86,1695960000000,117426
9170644.0,143.7039,144.83,143.77,145.6223,142.63,1696219200000,121167
9427118.0,142.8411,143.2,142.71,143.59,142.355,1696305600000,112289
8128748.0,142.8084,143.19,143.35,143.47,141.93,1696392000000,103414
8576237.0,142.227,142.04,142.9,143.1,140.83,1696478400000,115183
10255121.0,144.6656,142.91,145.1,145.88,142.14,1696564800000,115660
6964907.0,144.5491,143.66,144.77,145.395,143.5005,1696824000000,96720
11228769.0,145.9523,145.42,145.65,146.77,145.28,1696910400000,118649
8698175.0,146.0618,146.51,146.15,147.23,145.02,1696996800000,92058
10467436.0,146.0076,146.3,145.81,146.96,145.13,1697083200000,123581
29487199.0,149.9691,148.5,148,153.11,147.84,1697169600000,270045
12663461.0,147.801,149.45,147.85,149.52,146.72,1697428800000,140662
11482739.0,147.8939,147.57,147.53,149.31,146.79,1697515200000,139671
9620257.0,146.2996,146.59,145.91,147.48,145.37,1697601600000,118603
11143631.0,145.7637,145.48,145.29,147.02,144.88,1697688000000,128562
13332867.0,143.3005,144.57,142.95,145.14,142.12,1697774400000,137724
10133410.0,142.1008,142.94,141,143.68,140.73,1698033600000,124346
8881354.0,141.1721,141.19,141.17,141.73,140.36,1698120000000,109698
8242565.0,140.3643,140.57,140.4,141.18,139.51,1698206400000,99967
9059431.0,140.8031,139.76,140.76,141.665,139.43,1698292800000,113227
17434717.0,136.4977,138.95,135.69,139.1,135.19,1698379200000,191351
9855360.0,137.2317,136.44,137.42,138.04,136.04,1698638400000,119042
9672460.0,138.7471,137.71,139.06,139.24,137.4728,1698724800000,109052
9432048.0,139.2953,139.25,138.94,140.53,138.47,1698811200000,109880
10186175.0,140.9369,140.09,141.42,141.48,139.23,1698897600000,106958
9538719.0,143.0045,142.19,143,143.77,141.85,1698984000000,113941
7625063.0,143.726,143.17,144.08,144.19,142.79,1699246800000,101065
6297915.0,143.8009,143.51,144.01,144.2612,142.82,1699333200000,81895
7617869.0,144.4364,144.11,144.72,144.84,143.62,1699419600000,90641
7992477.0,144.6159,145.44,144.29,145.6499,143.7,1699506000000,117082
7983935.0,145.7171,144.94,146.43,146.48,144.0765,1699592400000,91432
6676364.0,145.6779,145.7,145.78,146.25,145.16,1699851600000,85491
9927723.0,148.3564,146.68,148.44,149.25,146.52,1699938000000,128244
8365296.0,149.6165,148.46,149.74,150.16,148.46,1700024400000,119818
8126188.0,150.8621,150.09,151.45,151.525,150.09,1700110800000,117812
7814064.0,152.4712,152.2,152.82,152.86,151.54,1700197200000,92303
6885249.0,153.0212,152.08,153.29,153.75,151.92,1700456400000,91208
7083506.0,153.0736,153.2,152.97,153.63,152.57,1700542800000,92283
5175135.0,153.3917,153.41,153.33,153.88,152.9,1700629200000,70847
3496941.0,153.7519,153.59,153.54,154.438,153.275,1700802000000,51396
6259116.0,153.0768,153.43,153.19,153.53,152.71,1701061200000,76345
6582937.0,153.4894,153.22,153.54,153.87,152.72,1701147600000,79946
9126053.0,154.7389,154.17,154.32,155.625,154,1701234000000,121822
9869790.0,155.6861,154.91,156.08,156.13,154.381,1701320400000,102755
8916001.0,157.0469,155.82,156.84,157.86,155.82,1701406800000,115209
9607465.0,157.5082,156.02,157.99,158.05,155.88,1701666000000,115074
9135597.0,157.8068,157.26,157.97,158.5,156.97,1701752400000,111552
9366004.0,157.1302,158.84,156.31,159.22,156,1701838800000,114747
8130874.0,156.7485,156.69,156.79,157.31,156.15,1701925200000,89624
7369370.0,158.1768,157.26,158.52,158.78,156.98,1702011600000,90982
8093908.0,158.9134,158.52,159.1,159.3,158.15,1702270800000,94920
10222978.0,160.2054,159.23,160.52,160.645,158.88,1702357200000,100531
12379098.0,160.8838,160.52,161.06,162.03,159.77,1702443600000,115628
13642990.0,163.5548,161.83,163.99,164.8399,161.705,1702530000000,157681
20274148.0,164.5975,163.08,165.23,165.28,162.39,1702616400000,138045
8469608.0,166.2396,165.92,166.23,167.13,165.63,1702875600000,111567
9994691.0,167.7227,166,168.45,168.47,165.55,1702962000000,97711
10698709.0,167.6426,167.99,166.55,169.41,166.45,1703048400000,109662
7601678.0,166.9735,166.84,167.5,168.09,165.675,1703134800000,101395
6576322.0,167.6039,167.5,167.4,168.23,167.23,1703221200000,80067
4683605.0,168.3705,167.46,168.39,168.765,167.18,1703566800000,69820
6400443.0,169.0729,167.84,169.4,169.47,167.58,1703653200000,78092
6320129.0,170.2257,169.35,170.3,170.66,168.995,1703739600000,85073
6435102.0,170.1627,170,170.1,170.69,169.63,1703826000000,77623
9977424.0,171.2847,169.09,172.08,172.17,168.91,1704171600000,126498
9852335.0,171.3335,171.86,171.33,172.04,170.37,1704258000000,120031
11972545.0,172.0197,170.64,171.41,173.35,170.54,1704344400000,127133
10066029.0,172.464,171.47,172.27,173.38,171.47,1704430800000,121034
11177716.0,171.0314,172.02,172.02,172.36,169.485,1704690000000,120774
9923630.0,170.7261,171.62,170.66,171.79,170.095,1704776400000,116625
9670218.0,170.2166,170,171.02,171.08,168.95,1704862800000,112314
11818248.0,169.6497,170.33,170.3,170.36,168.6401,1704949200000,129044
19436504.0,171.5528,173.8,169.05,176.31,168.9,1705035600000,214252
17206420.0,166.874,164.87,167.99,168.09,164.3,1705381200000,189670
11107466.0,167.4618,167.34,167.09,169.07,166.49,1705467600000,129330
9322255.0,166.5874,167.12,167.42,167.53,165.24,1705554000000,125019
13115664.0,169.4246,167.55,170.31,170.57,167.08,1705640400000,136206
12837505.0,170.552,170.46,170.11,171.9803,169.71,1705899600000,141845
8348929.0,169.0759,169.67,168.99,169.75,168.44,1705986000000,109215
9966060.0,170.3658,169.36,170.5,171.01,168.8627,1706072400000,116089
8873481.0,172.2758,172.31,172.94,172.99,170.905,1706158800000,114202
7442955.0,172.4065,172.61,172.28,173.06,171.78,1706245200000,109372
6971192.0,172.2448,172.24,172.73,172.84,171.3,1706504400000,91879
10822075.0,175.5686,172.83,176.27,176.7603,172.83,1706590800000,126763
11503320.0,175.8247,176.2,174.36,178.3,174.34,1706677200000,142722
9340048.0,173.2619,173.64,173.73,174.84,171.43,1706763600000,122037
8607839.0,174.7837,173.3,174.73,175.8162,173.26,1706850000000,111119
7820160.0,174.2824,173.86,174.5,175.09,172.92,1707109200000,95895
6737414.0,174.7172,174.61,175.1,175.87,173.76,1707195600000,96259
7225478.0,175.1375,175.69,175.43,175.87,173.96,1707282000000,93011
6043485.0,174.4885,175,174.8,175.3058,173.57,1707368400000,87458
6296729.0,174.6923,175,175.01,175.1,173.6731,1707454800000,86426
8539316.0,175.7536,174.78,175.79,176.808,173.7,1707714000000,99614
8397631.0,174.1701,175.32,174.26,176.2299,172.615,1707800400000,119866
7056664.0,175.3862,175.07,176.03,176.1,174.42,1707886800000,92056
8723390.0,179.3023,176.15,179.87,180.21,176.15,1707973200000,120899
8010147.0,178.9673,179.61,179.03,179.98,178.16,1708059600000,99552
9665709.0,179.7376,179.19,179.73,180.46,178.405,1708405200000,103048
7027857.0,180.2036,179.95,180.9,180.99,178.52,1708491600000,96763
9296459.0,182.7883,181.82,183.07,183.42,181.24,1708578000000,111935
7105833.0,184.196,183.81,183.99,185.2,183.19,1708664400000,108274
7145391.0,183.3274,183.75,183.36,184.46,182.48,1708923600000,98131
