o,c,h,l,t
14762.0064012999,14936.68589091251,14958.86514599399,14739.366958773,1692594000000
15035.07315542953,14908.96232660824,15037.79376398134,14883.98233999803,1692680400000
14947.57536301601,15148.05561002108,15188.86347447067,14947.57536301601,1692766800000
15278.93086288406,14816.44191826432,15279.2433967274,14814.83366482806,1692853200000
14858.93112939414,14941.82699181644,15001.29149402478,14715.36113605962,1692939600000
15035.47858078091,15052.46034087338,15086.23157373987,14948.9238020821,1693198800000
15043.02428417087,15376.54764313747,15391.56099586715,15034.54394663943,1693285200000
15386.66598877322,15462.43083319558,15484.82615111321,15341.94317602413,1693371600000
15475.43036229929,15501.07442640266,15575.01434034942,15466.41051483243,1693458000000
15600.95326180434,15490.86362903571,15618.85366066902,15429.35964942382,1693544400000
15460.52252530936,15508.2356725109,15556.84661690081,15419.96027819632,1693890000000
15467.32228177067,15371.44302821838,15486.99844034106,15289.47967737951,1693976400000
15174.22129129804,15258.52215633162,15288.19626562294,15138.72554417731,1694062800000
15265.57403536179,15280.23023330795,15374.21970680291,15244.06176559889,1694149200000
15409.77411095404,15461.865112059,15482.84121466085,15328.34706191972,1694408400000
15390.5881381351,15289.7363797206,15447.84871658982,15278.88022357754,1694494800000
15293.26758629757,15348.52513830686,15414.60914189954,15256.59945306311,1694581200000
15433.01277872318,15473.89311079591,15512.81713442314,15337.18210930708,1694667600000
15425.94789742755,15202.39822596306,15435.44980019982,15173.70916737754,1694754000000
15161.16844824385,15225.37180225281,15268.96213268835,15155.46063044387,1695013200000
15152.53158022411,15191.23444109215,15219.92249942885,15069.41465290044,1695099600000
15225.3441271995,14969.92259242014,15245.19245324362,14967.60285142915,1695186000000
14813.48473147881,14694.24334918638,14849.24844308692,14691.68939086582,1695272400000
14756.62391443788,14701.09663069552,14855.91952967669,14686.8436739244,1695358800000
14716.5333412669,14716.5333412669,14716.5333412669,14716.5333412669,1695445200000
14662.69110707071,14768.89505296796,14771.11775093188,14615.44864454962,1695618000000
14668.45440321786,14545.82596943556,14678.48179154095,14505.6755944191,1695704400000
14600.13873136468,14580.15928676499,14657.2113799592,14432.59695271572,1695790800000
14530.95947792657,14702.76563526051,14787.58360488529,14510.17002044757,1695877200000
14853.34650374633,14715.24405074836,14901.85262193658,14664.77699378714,1695963600000
14717.89607304373,14837.56942113192,14892.17577312036,14701.52373322334,1696222800000
14744.04991484042,14565.61633915023,14819.8659340293,14504.1437657759,1696309200000
14613.22620151764,14776.25252239099,14803.04272983327,14592.55503781017,1696395600000
14769.5533142422,14723.22244541963,14784.68604436801,14584.38599187312,1696482000000
14622.22750204599,14973.24136117539,15021.38331629785,14575.94766779678,1696568400000
14871.57260024411,15047.1545117854,15070.64185612409,14816.32027902484,1696827600000
15074.04387447859,15131.51996372612,15241.94269041294,15050.53872285609,1696914000000
15194.53036160367,15241.11589105718,15248.21669211,15119.61513631314,1697000400000
15264.10865500176,15184.10007906576,15333.97850976143,15090.69346580384,1697086800000
15225.72811790882,14995.11543088423,15232.36700378746,14943.41788161767,1697173200000
14997.41483715776,15084.51174807094,15084.51174807094,14997.41483715776,1697259600000
15054.47733030448,15172.73209884456,15209.49655523867,15047.26923633221,1697432400000
15009.25920777051,15122.01188180248,15187.0596206757,14932.76948892444,1697518800000
15022.28434656282,14909.25944415608,15103.8721135395,14865.80865900193,1697605200000
14981.12533856405,14783.12694602243,15023.90867098671,14749.30131093821,1697691600000
14752.58528413058,14560.87681353382,14781.22197807943,14552.12232095713,1697778000000
14514.11201113668,14604.85016245849,14746.36631475482,14419.05905684099,1698037200000
14678.40916537188,14745.85497833076,14774.16163645096,14610.32820896796,1698123600000
14642.07584814731,14381.64093148106,14643.69410908227,14362.2405086793,1698210000000
14314.01374996893,14109.57299830961,14372.50890984439,14058.33257741912,1698296400000
14245.74894571198,14180.42076333726,14321.03894456077,14130.36888466714,1698382800000
14283.98082601878,14335.50719849482,14388.20205116475,14225.85853703702,1698642000000
14340.85849681414,14409.78311730728,14420.443194255,14232.40226541273,1698728400000
14453.67579148895,14664.9051595529,14677.86124354592,14441.89455418779,1698814800000
14856.94802457892,14919.5452798056,14930.76445977627,14792.80862058835,1698901200000
14985.12223085201,15099.49147106894,15149.78086853318,14965.28709120444,1698987600000
15137.16478152778,15154.92626727298,15180.19311764647,15064.90629089599,1699250400000
15201.77067594698,15296.01863780093,15335.44253972976,15153.30951560934,1699336800000
15313.90129941361,15313.24107606342,15343.18612585608,15220.88451219251,1699423200000
15351.12216913995,15187.89750959099,15382.10651734339,15171.31589827599,1699509600000
15252.36328820257,15529.11952746574,15535.20232309415,15237.17387972501,1699596000000
15469.20913900208,15482.78674064568,15524.66177683152,15404.70727586374,1699855200000
15744.36112947977,15812.47295121558,15850.33668525562,15726.12418981846,1699941600000
15881.72076161759,15817.17609926806,15904.62715304483,15765.30549367028,1700028000000
15765.19844814927,15833.17273456648,15842.63360223545,15738.22373153728,1700114400000
15803.9827085015,15837.99318252915,15876.86633275454,15766.94452023503,1700200800000
15845.19666290233,16027.06345464533,16056.75590015671,15844.82831203815,1700460000000
15951.55178901019,15933.61969063319,15968.08641559725,15866.81535445466,1700546400000
16025.74303530545,16001.38590021055,16119.31387589465,15964.03826898278,1700632800000
15974.85043647017,15943.35308799192,16007.42570650574,15940.62256991987,1700805600000
15969.72012369908,15961.98084449031,16045.30030681593,15932.19275909873,1701064800000
15940.29380661089,15929.13732435247,15970.83064519958,15927.47925875134,1701151200000
16111.36274602076,16158.29970382318,16161.81513642054,16110.6505277532,1701237600000
15987.66330022074,15947.86949623096,16013.48099894327,15825.6679997384,1701324000000
15892.58625559371,15997.57892552685,16013.75015824908,15834.92675512712,1701410400000
15837.12275312861,15839.66922283435,15852.44770012874,15695.5835568797,1701669600000
15763.65476634115,15877.70894553208,15931.84187440924,15760.58799894921,1701756000000
15990.19558596765,15918.50302116928,15990.93691201839,15913.73068325755,1701842400000
15888.23327883742,16022.48722175886,16042.50782195711,15875.47696897303,1701928800000
15952.85329924595,16084.68872089865,16100.85635921983,15937.57753616516,1702015200000
16069.61508862652,16221.73476961587,16232.2553425942,16061.87408947418,1702274400000
16209.61125412864,16354.24753888684,16354.24753888684,16175.46130232765,1702360800000
16392.17854411113,16562.36987187913,16581.04034089702,16357.21036689427,1702447200000
16603.53983587595,16537.82551292034,16660.70932856533,16419.26120156638,1702533600000
16586.99729346582,16623.44696925489,16669.77398732243,16557.01010364015,1702620000000
16631.11244799414,16729.80261637625,16764.31549938763,16629.28927274458,1702879200000
16734.25392643041,16811.85494855435,16813.01145664161,16733.37693109166,1702965600000
16763.64048347002,16554.15807468406,16860.67636759693,16552.06393999167,1703052000000
16719.61100225966,16757.40810549438,16768.02432704374,16621.5167732707,1703138400000
16799.01859522059,16777.40338467686,16839.25283626,16703.57071596427,1703224800000
16816.7836741272,16878.4616554103,16907.51193511429,16813.56546301424,1703570400000
16896.14294670473,16906.8010559339,16922.01445053441,16859.55255546979,1703656800000
16963.51711129441,16898.47319077154,16969.17058548589,16891.32378225857,1703743200000
16902.4446844648,16825.93070568058,16919.51029402964,16757.88518685944,1703829600000
16667.2989250833,16543.93760613773,16686.60350195957,16453.15030260031,1704175200000
16413.25542943792,16368.49057016411,16471.07683758718,16352.14201822551,1704261600000
16290.77501779523,16282.01240905942,16419.43817262962,16276.4310122321,1704348000000
16281.74436804671,16305.97906081521,16415.39253800319,16249.18904146178,1704434400000
16354.22071963576,16649.8742738352,16655.23102549871,16349.39033353261,1704693600000
16531.9599638416,16678.70440060544,16710.88451392252,16513.73449093977,1704780000000
16702.55309456953,16793.04511894746,16827.36721434607,16654.74066365853,1704866400000
16852.18886433119,16820.90066603006,16898.15580263613,16618.85825783025,1704952800000
16855.00310672873,16832.91796083188,16900.36909684942,16776.9177437379,1705039200000
16775.09769258038,16830.70926398125,16895.32640337128,16726.59034523443,1705384800000
16705.50763511584,16736.27929115445,16749.1141317254,16561.49047668491,1705471200000
16894.33074175336,16982.28860093269,16996.98370256895,16818.12691337191,1705557600000
17060.14446557914,17314.00480342127,17317.21205633904,17041.85163030771,1705644000000
17403.6183078734,17330.38003852701,17450.3013328094,17309.86619204739,1705903200000
17346.95101838197,17404.20562888379,17410.86330786642,17286.01842926932,1705989600000
17562.31604869129,17499.29847416757,17665.25931146499,17481.97154841796,1706076000000
17589.26979983632,17516.98810099811,17631.33700218257,17430.37452781362,1706162400000
17432.87360775225,17421.00924072959,17514.75561233032,17395.53535241529,1706248800000
17438.03014313286,17596.27001296096,17603.95319022773,17414.622674342,1706508000000
17556.49064567178,17476.70931090266,17578.45686428069,17443.77338739071,1706594400000
17269.97537511707,17137.23579120616,17375.32229609097,17128.73879533896,1706680800000
17216.99400803838,17344.7093191499,17356.76162380459,17175.8279508309,1706767200000
17415.94044768011,17642.73155693633,17682.29179871978,17378.37400986552,1706853600000
17634.69240766361,17613.03611057751,17655.77284725765,17469.61688444586,1707112800000
17664.43864288946,17572.73388552524,17680.61739884382,17475.43368876344,1707199200000
17674.59283029206,17755.07147667831,17784.16899602306,17637.72951822844,1707285600000
17757.5980035715,17783.16595646633,17814.12174733718,17728.55397154066,1707372000000
17820.98068410641,17962.40512747074,17987.89728241598,17798.81344404728,1707458400000
17942.28393296156,17882.66096762813,18041.45401568676,17859.65770517935,1707717600000
17519.79594400251,17600.4236397292,17717.66870527668,17478.23250778051,1707804000000
17728.89935472353,17807.63068272447,17815.18177367487,17619.92206849989,1707890400000
17815.32134979768,17845.72342187266,17864.58495234145,17722.30569390676,1707976800000
17853.59430608054,17685.98038951179,17864.15803504876,17663.39941065497,1708063200000
17591.16774720154,17546.09596597033,17657.07983142765,17399.4070181944,1708408800000
17412.78823208775,17478.90800615993,17482.13092116542,17319.43829605277,1708495200000
17857.75550663998,18004.70228924498,18034.80437573113,17808.26000678968,1708581600000
18052.59244018701,17937.60973793411,18091.62444934009,17902.77669922034,1708668000000
17970.20933054755,17933.33234797932,18014.10910534034,17926.66073258562,1708927200000
17962.58314489904,17971.04650881895,17987.54126085128,17871.05749763548,1709013600000
17895.02621953252,17874.50353332059,17931.01306556362,17840.35580663098,1709100000000
17991.67131669206,18043.85001331123,18068.51833402559,17866.26062946634,1709186400000
18069.28577152792,18302.90975008074,18333.2566053976,18064.4388955297,1709272800000
18290.09683954994,18226.48234552608,18313.42858583214,18218.24529669479,1709532000000
18088.70611883717,17897.86741047339,18097.50069254871,17804.4954024863,1709618400000
18083.50872975537,18017.57468569911,18142.87814010117,17941.64467935518,1709704800000
18161.73167321018,18297.99040220537,18337.95407783484,18101.43314378806,1709791200000
18312.78497656072,18018.4524209871,18416.72688675222,17995.38285064887,1709877600000
17959.67972497803,17951.6919746409,18003.04900045078,17873.32670526952,1710133200000
18063.02361973701,18219.11454913857,18228.36961150191,17919.3327021502,1710219600000
18151.75528508817,18068.46731498192,18163.74242009961,18030.40313677069,1710306000000
18114.68601991626,18014.80587080153,18142.9029788032,17913.62898548925,1710392400000
17926.9169267366,17808.24994056896,17930.47162915616,17764.98817037678,1710478800000
18024.23821438116,17985.00686910115,18124.32430803588,17973.08761628692,1710738000000
17902.51537873831,18032.20493765201,18039.82249781734,17809.14962042434,1710824400000
18067.69889926989,18240.10687201883,18249.11924285353,18003.2404136036,1710910800000
18438.23981976746,18320.37547739828,18464.7035828885,18317.09506211292,1710997200000
18293.1485943148,18339.44247124499,18386.25219476104,18267.48958870343,1711083600000
18215.54364307991,18277.06363168295,18337.34707223643,18189.27827000426,1711342800000
18329.2858737352,18210.53672933598,18378.70021274486,18207.87920979941,1711429200000
18338.18694193262,18280.84200061059,18344.08625528741,18168.2041614765,1711515600000
18263.41059400338,18254.68877690825,18308.31648391215,18231.38319273456,1711602000000
18280.8194213926,18293.1985457811,18391.58264947711,18211.27557144379,1711947600000
18076.43260379754,18121.78376983274,18135.57460365485,18002.26685577332,1712034000000
18054.44464661479,18160.19035551588,18238.66500929783,18045.41925293409,1712120400000
18331.0232864102,17878.77994094706,18362.28791931052,17875.7461083859,1712206800000
17940.2783401901,18108.45626232087,18202.95551819502,17912.85854353996,1712293200000
18130.44118427795,18100.19233446655,18178.65642659122,18050.68958908115,1712552400000
18188.86666996964,18169.90490540768,18210.02379099622,17973.0713402293,1712638800000
17957.95611639143,18011.65476767833,18040.82968821636,17932.4150877203,1712725200000
18085.11208238033,18307.98265858954,18337.1509148954,17998.25274532019,1712811600000
18117.67140883034,18003.48672366204,18166.49358316497,17952.08519970589,1712898000000
18143.25456428002,17706.83238943724,18152.08087141352,17676.3462581273,1713157200000
17691.44864568688,17713.66416019902,17817.72602773676,17660.88914907592,1713243600000
17785.82259192908,17493.62169048919,17788.53820803673,17459.57174281333,1713330000000
17514.77014256282,17394.3141718854,17590.81165361064,17376.49400617085,1713416400000
