v,vw,o,c,h,l,t,n
5596,1.3475,1.34572,1.34771,1.34806,1.34511,1695513600000,5596
153513,1.3473,1.34772,1.34503,1.3492,1.3446,1695600000000,153513
189799,1.3494,1.34504,1.35195,1.3528,1.3447,1695686400000,189799
179970,1.3517,1.35191,1.35002,1.3543,1.3489,1695772800000,179970
195907,1.3493,1.34997,1.34907,1.35163,1.33724,1695859200000,195907
182175,1.3492,1.34908,1.3588,1.3588,1.34143,1695945600000,182175
3815,1.3574,1.3554,1.35733,1.35811,1.3551,1696118400000,3815
176991,1.3628,1.35725,1.36758,1.3685,1.3559,1696204800000,176991
195694,1.3706,1.36758,1.37092,1.3736,1.3673,1696291200000,195694
209724,1.3725,1.37094,1.3743,1.37795,1.36727,1696377600000,209724
186534,1.3738,1.37441,1.37056,1.37856,1.36996,1696464000000,186534
192095,1.3698,1.37057,1.368,1.37447,1.35363,1696550400000,192095
7491,1.3667,1.36734,1.3662,1.36789,1.36481,1696723200000,7491
172480,1.3637,1.36619,1.3578,1.36761,1.35665,1696809600000,172480
198238,1.359,1.35802,1.35837,1.3617,1.3567,1696896000000,198238
162653,1.3596,1.35838,1.35956,1.36236,1.35436,1696982400000,162653
168961,1.3629,1.35958,1.36844,1.37006,1.35697,1697068800000,168961
169520,1.3669,1.36845,1.3666,1.36887,1.35875,1697155200000,169520
4161,1.3647,1.36418,1.36433,1.3662,1.36389,1697328000000,4161
162136,1.3629,1.36432,1.3614,1.36554,1.3604,1697414400000,162136
170703,1.364,1.36149,1.36528,1.3703,1.3607,1697500800000,170703
158481,1.3663,1.36528,1.37125,1.3717,1.3615,1697587200000,158481
164218,1.3719,1.37124,1.37155,1.37406,1.3677,1697673600000,164218
145853,1.3701,1.37159,1.3728,1.3734,1.36662,1697760000000,145853
2167,1.3706,1.37129,1.37053,1.37143,1.3701,1697932800000,2167
150999,1.3704,1.37052,1.36887,1.37365,1.3665,1698019200000,150999
150464,1.3707,1.36886,1.3741,1.37543,1.3659,1698105600000,150464
156072,1.377,1.37418,1.38025,1.381,1.37111,1698192000000,156072
163933,1.3817,1.38026,1.3815,1.3846,1.3787,1698278400000,163933
144284,1.3836,1.38162,1.3879,1.38806,1.3793,1698364800000,144284
2453,1.3868,1.38447,1.38634,1.38726,1.38447,1698537600000,2453
129647,1.3841,1.38633,1.383,1.38663,1.37573,1698624000000,129647
142201,1.3853,1.38293,1.38781,1.3892,1.3811,1698710400000,142201
155116,1.3875,1.3877,1.38344,1.38987,1.38321,1698796800000,155116
134921,1.38,1.3834,1.37471,1.38517,1.3734,1698883200000,134921
133420,1.3709,1.37469,1.3669,1.37599,1.34155,1698969600000,133420
1348,1.3659,1.36491,1.36606,1.36711,1.36455,1699142400000,1348
127813,1.3662,1.366,1.3696,1.3705,1.3627,1699228800000,127813
136882,1.3743,1.36975,1.3767,1.37824,1.3692,1699315200000,136882
139379,1.3786,1.37685,1.37902,1.3815,1.3752,1699401600000,139379
145321,1.3787,1.37903,1.3807,1.38164,1.3744,1699488000000,145321
127028,1.3812,1.38086,1.3797,1.38546,1.37165,1699574400000,127028
1816,1.3795,1.37941,1.37971,1.38014,1.37812,1699747200000,1816
110525,1.3806,1.3797,1.38008,1.38315,1.37539,1699833600000,110525
127687,1.3767,1.38009,1.36994,1.3844,1.36268,1699920000000,127687
129130,1.3682,1.36992,1.36834,1.37099,1.3653,1700006400000,129130
137354,1.3725,1.36833,1.3751,1.37768,1.3675,1700092800000,137354
132401,1.3733,1.37521,1.3719,1.37708,1.35484,1700179200000,132401
1814,1.3715,1.37071,1.37206,1.37206,1.3704,1700352000000,1814
127902,1.3717,1.37205,1.3726,1.37494,1.3687,1700438400000,127902
143539,1.3707,1.3726,1.36992,1.37311,1.3679,1700524800000,143539
142716,1.3717,1.3698,1.369,1.37655,1.36796,1700611200000,142716
96861,1.3686,1.36925,1.36957,1.37111,1.3648,1700697600000,96861
109835,1.3659,1.36958,1.3643,1.3712,1.35472,1700784000000,109835
1313,1.3629,1.36057,1.36306,1.36379,1.36057,1700956800000,1313
123094,1.3638,1.36312,1.3604,1.36607,1.3597,1701043200000,123094
136331,1.3589,1.36053,1.3563,1.36134,1.3557,1701129600000,136331
139825,1.3575,1.35656,1.35921,1.36145,1.3539,1701216000000,139825
148230,1.3586,1.3592,1.3555,1.36265,1.34957,1701302400000,148230
139263,1.352,1.35565,1.3495,1.35569,1.34327,1701388800000,139263
2598,1.3489,1.34967,1.34892,1.35031,1.34794,1701561600000,2598
139919,1.3533,1.34886,1.3538,1.35619,1.34861,1701648000000,139919
138359,1.3569,1.35393,1.35918,1.35943,1.3534,1701734400000,138359
132419,1.3574,1.35918,1.35918,1.3597,1.3548,1701820800000,132419
133751,1.3597,1.359,1.35964,1.36193,1.35644,1701907200000,133751
135212,1.3584,1.3595,1.3592,1.361,1.34359,1701993600000,135212
1574,1.3583,1.35647,1.35808,1.35904,1.35647,1702166400000,1574
123964,1.3581,1.35809,1.35784,1.3605,1.35465,1702252800000,123964
124217,1.3581,1.3576,1.3585,1.36184,1.35391,1702339200000,124217
129801,1.3566,1.3585,1.35097,1.36081,1.34744,1702425600000,129801
146643,1.3444,1.35099,1.34043,1.35099,1.3392,1702512000000,146643
131473,1.3383,1.34039,1.3395,1.34143,1.33005,1702598400000,131473
1654,1.3373,1.3359,1.33812,1.33812,1.3354,1702771200000,1654
113470,1.3381,1.33816,1.33977,1.34089,1.3347,1702857600000,113470
112054,1.3366,1.3398,1.3336,1.34001,1.32884,1702944000000,112054
115954,1.3338,1.33384,1.33592,1.3373,1.331,1703030400000,115954
132791,1.3327,1.33581,1.32839,1.33596,1.32138,1703116800000,132791
117761,1.3269,1.32839,1.3295,1.3295,1.207,1703203200000,117761
12,1.3258,1.32642,1.32568,1.32642,1.32558,1703376000000,12
56596,1.3248,1.32592,1.32517,1.3304,1.31449,1703462400000,56596
85045,1.3228,1.32516,1.31949,1.32618,1.31795,1703548800000,85045
101776,1.32,1.31965,1.32045,1.32193,1.3175,1703635200000,101776
116482,1.3208,1.32045,1.3228,1.3239,1.31546,1703721600000,116482
112236,1.3231,1.32301,1.30958,1.32652,1.30048,1703808000000,112236
1,1.3239,1.32392,1.32392,1.32392,1.32392,1703980800000,1
11521,1.3229,1.3249,1.32441,1.3325,1.28984,1704067200000,11521
127946,1.3285,1.32443,1.33214,1.3334,1.3226,1704153600000,127946
138780,1.3343,1.33213,1.33481,1.3372,1.3315,1704240000000,138780
126272,1.3343,1.33483,1.33557,1.3366,1.3315,1704326400000,126272
131531,1.3353,1.3356,1.3365,1.33985,1.32626,1704412800000,131531
1346,1.336,1.33433,1.33598,1.33652,1.33393,1704585600000,1346
120256,1.3373,1.33595,1.33509,1.34051,1.33398,1704672000000,120256
116886,1.3375,1.33509,1.33894,1.34149,1.3338,1704758400000,116886
111876,1.338,1.33892,1.33796,1.33943,1.3363,1704844800000,111876
97775,1.3389,1.33796,1.33783,1.34427,1.33271,1704931200000,97775
124816,1.3377,1.33782,1.33591,1.3412,1.3341,1705017600000,124816
2046,1.3404,1.33885,1.34064,1.34119,1.33885,1705190400000,2046
89632,1.3414,1.34065,1.34357,1.34484,1.338,1705276800000,89632
132086,1.3479,1.34358,1.3488,1.3502,1.3433,1705363200000,132086
129555,1.3515,1.34893,1.35014,1.35418,1.3394,1705449600000,129555
123643,1.3499,1.35013,1.3485,1.35277,1.34741,1705536000000,123643
120476,1.3472,1.34849,1.34124,1.3502,1.34045,1705622400000,120476
2492,1.3432,1.34244,1.34316,1.34379,1.34181,1705795200000,2492
107475,1.3442,1.34319,1.34779,1.3487,1.3413,1705881600000,107475
108900,1.3474,1.3478,1.3456,1.3492,1.3451,1705968000000,108900
117089,1.3472,1.34562,1.35253,1.35283,1.3428,1706054400000,117089
117940,1.3504,1.35254,1.34793,1.35344,1.34449,1706140800000,117940
109633,1.3454,1.34797,1.33707,1.34829,1.33196,1706227200000,109633
1266,1.3451,1.34522,1.34555,1.34556,1.3444,1706400000000,1266
98940,1.344,1.34555,1.34114,1.34652,1.33994,1706486400000,98940
107324,1.3412,1.34111,1.34013,1.34463,1.3355,1706572800000,107324
135525,1.3407,1.34015,1.34317,1.34462,1.33512,1706659200000,135525
52581,1.3391,1.3432,1.33844,1.34357,1.33613,1706745600000,52581
121945,1.3418,1.3384,1.34292,1.34754,1.3363,1706832000000,121945
2119,1.3467,1.34598,1.34701,1.34748,1.34567,1707004800000,2119
111087,1.3503,1.34696,1.35433,1.3547,1.3464,1707091200000,111087
121777,1.3514,1.35432,1.34892,1.35434,1.34561,1707177600000,121777
122992,1.3474,1.34897,1.34622,1.3493,1.3453,1707264000000,122992
116903,1.3465,1.34621,1.34598,1.34928,1.34188,1707350400000,116903
111523,1.3456,1.3458,1.33921,1.3482,1.33262,1707436800000,111523
1504,1.3459,1.34587,1.34576,1.34652,1.34523,1707609600000,1504
98070,1.3455,1.34575,1.34554,1.3475,1.3427,1707696000000,98070
125658,1.351,1.34554,1.35656,1.35859,1.34315,1707782400000,125658
117707,1.3551,1.35658,1.35382,1.35721,1.3529,1707868800000,117707
112683,1.3513,1.35382,1.34652,1.35513,1.3458,1707955200000,112683
107897,1.3483,1.34655,1.34052,1.35078,1.33933,1708041600000,107897
1346,1.3481,1.34688,1.34775,1.34858,1.34688,1708214400000,1346
