name,date,closing_price,daily_return,cumulative_return,10_day_ma,100_day_ma,volatility,sharpe_ratio,beta
Amazon,2024-03-01 00:00:00.000,178.22,0.00825978728219057,0.00825978728219057,0.00818498358004853,0.00303215405342239,0.0186570386872913,0.274771450960903,1.18242749213
Amazon,2024-03-02 00:00:00.000,178.22,0,0.00825978728219057,0.00806318312223066,0.00303215405342239,0.0182245187773833,0.202692531714934,1.18242749213
Amazon,2024-03-03 00:00:00.000,178.22,0,0.00825978728219057,0.00348538297846655,0.00307499752334529,0.0115250082461687,0.0594620591998025,1.18242749213
Amazon,2024-03-04 00:00:00.000,177.58,-0.00359106722028946,0.00466872006190111,0.00249545618719784,0.00297550401970895,0.0115574219173132,0.0489915464113858,1.18242749213
Amazon,2024-03-05 00:00:00.000,174.12,-0.0194841761459624,-0.0148154560840613,-0.000644491288967914,0.0026452146055079,0.0121570864480453,-0.00452889172397203,1.18242749213
Amazon,2024-03-06 00:00:00.000,173.51,-0.00350333103606715,-0.0183187871201285,-0.00100184625735532,0.0024944799331149,0.0120570355909632,0.00223436325289263,1.18242749213
Amazon,2024-03-07 00:00:00.000,176.82,0.0190767102760647,0.000757923155936258,0.00156846742571842,0.00284470176159801,0.01242249784722,0.0661559332114584,1.18242749213
Amazon,2024-03-08 00:00:00.000,175.35,-0.00831353919239908,-0.00755561603646282,0.00138058848171346,0.00279345775102609,0.0124843609176601,0.0281054962104808,1.18242749213
Amazon,2024-03-09 00:00:00.000,175.35,0,-0.00755561603646282,0.00189062925050827,0.00285861230270695,0.0124497254557861,0.0358608760235552,1.18242749213
Amazon,2024-03-10 00:00:00.000,175.35,0,-0.00755561603646282,-0.00125926933941047,0.00280443385638831,0.0114401031575985,-0.0156886214978859,1.18242749213
Amazon,2024-03-11 00:00:00.000,171.96,-0.0193327630453378,-0.0268883790818006,-0.00585802772733187,0.00247402793248195,0.0119852813519541,-0.0695605533405359,1.18242749213
Amazon,2024-03-12 00:00:00.000,175.39,0.0199464991858571,-0.00694187989594353,-0.00217166673973344,0.00273097603914923,0.0125488303690717,-0.0166655459424552,1.18242749213
Amazon,2024-03-13 00:00:00.000,176.555,0.00664233992816032,-0.000299539967783202,-0.00106991590624672,0.00304770044109575,0.0123780899729849,0.023804363767063,1.18242749213
Amazon,2024-03-14 00:00:00.000,178.75,0.0124323865084535,0.0121328465406703,0.000933015809846144,0.00302340455089281,0.0118015150540882,0.0977849288635627,1.18242749213
Amazon,2024-03-15 00:00:00.000,174.42,-0.0242237762237763,-0.012090929683106,0.000340565800119416,0.00290345987298965,0.0125092880357661,0.00806962739123363,1.18242749213
Amazon,2024-03-16 00:00:00.000,174.42,0,-0.012090929683106,0.00088969391957464,0.00270306494968662,0.0124271152079375,0.0204723991884196,1.18242749213
Amazon,2024-03-17 00:00:00.000,174.42,0,-0.012090929683106,-0.00214147547317371,0.00268831637940558,0.0124183356652704,0.0234893061632781,1.18242749213
Amazon,2024-03-18 00:00:00.000,174.48,0.000343997248021921,-0.0117469324350841,-0.000698552733103541,0.00265332654162373,0.0124175139842708,0.0243125543570319,1.18242749213
Amazon,2024-03-19 00:00:00.000,175.9,0.00813846859238887,-0.0036084638426952,0.000563878884823946,0.00273399039531146,0.0124827848109636,0.0459472758576553,1.18242749213
Amazon,2024-03-20 00:00:00.000,178.15,0.0127913587265491,0.00918289488385393,0.00209231386503959,0.00307472376450351,0.0126538115170351,0.0795493852139148,1.18242749213
Amazon,2024-03-21 00:00:00.000,178.15,0,0.00918289488385393,0.00515303913795065,0.00295794916024774,0.0122914797743825,0.105386813615968,1.18242749213
Amazon,2024-03-22 00:00:00.000,178.87,0.00404153802975027,0.0132244329136042,0.00288090182993539,0.00288063496116863,0.0122295214444459,0.0999378232282451,1.18242749213
Amazon,2024-03-23 00:00:00.000,178.87,0,0.0132244329136042,0.00225399548023123,0.00306883315931718,0.0104687845313692,0.0385191306125252,1.18242749213
Amazon,2024-03-24 00:00:00.000,178.87,0,0.0132244329136042,0.000218317274586788,0.00284993032642179,0.0104660703420566,0.0342993318972595,1.18242749213
Amazon,2024-03-25 00:00:00.000,179.71,0.00469614804047636,0.0179205809540806,0.00600230212743731,0.00287790332208929,0.0104890298977199,0.0490526633729944,1.18242749213
Amazon,2024-03-26 00:00:00.000,178.3,-0.00784597406933396,0.0100746068847466,0.0036942560946421,0.00271784545057551,0.0106104101896709,0.0242377308736497,1.18242749213
Amazon,2024-03-27 00:00:00.000,179.83,0.00858104318564212,0.0186556500703887,0.00439236853621353,0.00243787891463655,0.0106983972805581,0.0533709631780575,1.18242749213
Amazon,2024-03-28 00:00:00.000,180.38,0.00305844408608125,0.02171409415647,0.00478014665593629,0.00251065204647937,0.0106007627625407,0.0745081967751782,1.18242749213
Amazon,2024-03-29 00:00:00.000,180.38,0,0.02171409415647,0.00422042633319419,0.00271322197933035,0.0105831181028778,0.0781138834212855,1.18242749213
Amazon,2024-03-30 00:00:00.000,180.38,0,0.02171409415647,0.00250623985452321,0.00258101211742939,0.00993139843881859,0.042128548782848,1.18242749213
Amazon,2024-03-31 00:00:00.000,180.38,0,0.02171409415647,0.00250623985452321,0.00266399838808248,0.00982924256270526,0.0271830908992012,1.18242749213
Amazon,2024-04-01 00:00:00.000,180.97,0.00327087260228409,0.0249849667587541,0.00235210676902997,0.00267333491445481,0.00984222857627832,0.0380780463494056,1.18242749213
Amazon,2024-04-02 00:00:00.000,180.69,-0.00154721777090128,0.0234377489878528,0.0017022193457081,0.00260938714649487,0.00984930190095233,0.0327840216467203,1.18242749213
Amazon,2024-04-03 00:00:00.000,182.41,0.00951906580330952,0.0329568147911623,0.00281891169679401,0.00271251667868614,0.00995156491027368,0.0749712555212917,1.18242749213
Amazon,2024-04-04 00:00:00.000,180,-0.0132119949564169,0.0197448198347454,0.000260605554380693,0.00251629556814445,0.00956603094366717,0.0822696238634262,1.18242749213
Amazon,2024-04-05 00:00:00.000,185.07,0.0281666666666667,0.0479114865014121,0.0054052685166665,0.00294350393021909,0.0107132629040007,0.179552382671294,1.18242749213
Amazon,2024-04-06 00:00:00.000,185.07,0,0.0479114865014121,0.00487597273850389,0.00298415007728975,0.0102328491859793,0.128296423711112,1.18242749213
Amazon,2024-04-07 00:00:00.000,185.07,0,0.0479114865014121,0.00523947846898842,0.00317449772454641,0.0100671399674415,0.150418430202901,1.18242749213
Amazon,2024-04-08 00:00:00.000,185.19,0.000648403306856782,0.0485598898082689,0.00447429927529982,0.00313622356670263,0.010063729083707,0.152491624555142,1.18242749213
Amazon,2024-04-09 00:00:00.000,185.67,0.0025919326097521,0.051151822418021,0.00420538975165014,0.0031280998210765,0.010058241292823,0.161034414817287,1.18242749213
Amazon,2024-04-10 00:00:00.000,185.95,0.00150805192007319,0.0526598743380942,0.00386822252270302,0.00310427558723822,0.00922207141899137,0.220155610579002,1.18242749213
Amazon,2024-04-11 00:00:00.000,189.05,0.0166711481581072,0.0693310224962014,0.00554325696718092,0.00354398226819808,0.00902759770049656,0.228606622215914,1.18242749213
Amazon,2024-04-12 00:00:00.000,186.13,-0.0154456492991273,0.0538853731970741,0.00380595302615266,0.00346004445021457,0.00956633317803736,0.156806947113807,1.18242749213
Amazon,2024-04-13 00:00:00.000,186.13,0,0.0538853731970741,0.0029897940579874,0.00390374560493032,0.00935713016074895,0.121605167304019,1.18242749213
